id	nombre	lideres	inicio	fin	color	fuente
federacion-1	Federación 1	Amado Carrillo Fuentes 'El señor de Los Cielos'	1993	1998	#e9f4dc	#8fc64f
federacion-2	Federación 2	Joaquín 'El Chapo' Guzmán	2001	2004	#f9edd6	#e1a632
